day,CosineSim,UsingSlope,Baseline1,Baseline2
1,14520,13440,16760,16723
2,13320,13320,13667,13540
3,13320,12840,13750,13726
4,14520,13680,13615,13758
5,12360,12960,13400,13404
6,12960,12720,12848,12528
7,14160,13080,14653,14693
