x1,x2,peak,cosineSim
200,200,22,0.0
201,201,21,0.25881904510252046
202,202,20,0.4999999999999994
203,203,19,0.7071067811865475
204,204,17,0.9659258262890684
205,205,17,0.9659258262890684
206,206,15,0.9659258262890684
207,207,14,0.866025403784439
208,208,13,0.7071067811865479
209,209,12,0.5000000000000008
210,210,10,6.106226635438361e-16
211,211,8,-0.4999999999999997
212,212,7,-0.707106781186547
213,213,4,-1.0
214,214,3,-0.9659258262890684
215,215,1,-0.7071067811865479
216,216,0,-0.5000000000000004
217,217,23,-0.25881904510252135
218,218,21,0.25881904510252046
219,219,20,0.4999999999999994
220,220,18,0.8660254037844385
221,221,17,0.9659258262890684
222,222,16,1.0
223,223,15,0.9659258262890684
224,224,14,0.866025403784439
225,225,13,0.7071067811865479
226,226,12,0.5000000000000008
227,227,9,-0.2588190451025203
228,228,7,-0.707106781186547
229,229,5,-0.9659258262890681
230,230,4,-1.0
231,231,2,-0.8660254037844388
232,232,1,-0.7071067811865479
233,233,0,-0.5000000000000004
234,234,22,0.0
235,235,21,0.25881904510252046
236,236,20,0.4999999999999994
237,237,19,0.7071067811865475
238,238,18,0.8660254037844385
239,239,17,0.9659258262890684
240,240,15,0.9659258262890684
241,241,14,0.866025403784439
242,242,13,0.7071067811865479
243,243,12,0.5000000000000008
244,244,10,6.106226635438361e-16
245,245,8,-0.4999999999999997
246,246,5,-0.9659258262890681
247,247,4,-1.0
248,248,3,-0.9659258262890684
249,249,2,-0.8660254037844388
250,250,1,-0.7071067811865479
251,251,23,-0.25881904510252135
252,252,22,0.0
253,253,21,0.25881904510252046
254,254,19,0.7071067811865475
255,255,18,0.8660254037844385
256,256,17,0.9659258262890684
257,257,16,1.0
258,258,15,0.9659258262890684
259,259,13,0.7071067811865479
260,260,13,0.7071067811865479
261,261,11,0.258819045102521
262,262,8,-0.4999999999999997
263,263,7,-0.707106781186547
264,264,4,-1.0
265,265,2,-0.8660254037844388
266,266,1,-0.7071067811865479
267,267,0,-0.5000000000000004
268,268,23,-0.25881904510252135
269,269,22,0.0
270,270,21,0.25881904510252046
271,271,19,0.7071067811865475
272,272,18,0.8660254037844385
273,273,17,0.9659258262890684
274,274,16,1.0
275,275,15,0.9659258262890684
276,276,14,0.866025403784439
277,277,13,0.7071067811865479
278,278,12,0.5000000000000008
279,279,11,0.258819045102521
280,280,8,-0.4999999999999997
281,281,6,-0.8660254037844383
282,282,4,-1.0
283,283,2,-0.8660254037844388
284,284,1,-0.7071067811865479
285,285,0,-0.5000000000000004
286,286,22,0.0
287,287,20,0.4999999999999994
288,288,18,0.8660254037844385
289,289,17,0.9659258262890684
290,290,15,0.9659258262890684
291,291,14,0.866025403784439
292,292,13,0.7071067811865479
293,293,10,6.106226635438361e-16
294,294,9,-0.2588190451025203
295,295,7,-0.707106781186547
296,296,4,-1.0
297,297,2,-0.8660254037844388
298,298,0,-0.5000000000000004
299,299,23,-0.25881904510252135
300,300,21,0.25881904510252046
301,301,19,0.7071067811865475
302,302,18,0.8660254037844385
303,303,17,0.9659258262890684
304,304,15,0.9659258262890684
305,305,14,0.866025403784439
306,306,12,0.5000000000000008
307,307,10,6.106226635438361e-16
308,308,8,-0.4999999999999997
309,309,6,-0.8660254037844383
310,310,3,-0.9659258262890684
311,311,2,-0.8660254037844388
312,312,1,-0.7071067811865479
313,313,23,-0.25881904510252135
314,314,22,0.0
315,315,20,0.4999999999999994
316,316,18,0.8660254037844385
317,317,17,0.9659258262890684
318,318,16,1.0
319,319,15,0.9659258262890684
320,320,14,0.866025403784439
321,321,13,0.7071067811865479
322,322,12,0.5000000000000008
323,323,10,6.106226635438361e-16
324,324,5,-0.9659258262890681
325,325,4,-1.0
326,326,3,-0.9659258262890684
327,327,1,-0.7071067811865479
328,328,0,-0.5000000000000004
329,329,23,-0.25881904510252135
330,330,21,0.25881904510252046
331,331,20,0.4999999999999994
332,332,19,0.7071067811865475
333,333,18,0.8660254037844385
334,334,17,0.9659258262890684
335,335,16,1.0
336,336,15,0.9659258262890684
337,337,14,0.866025403784439
338,338,13,0.7071067811865479
339,339,12,0.5000000000000008
340,340,11,0.258819045102521
341,341,8,-0.4999999999999997
342,342,7,-0.707106781186547
343,343,4,-1.0
344,344,3,-0.9659258262890684
345,345,2,-0.8660254037844388
346,346,1,-0.7071067811865479
347,347,0,-0.5000000000000004
348,348,23,-0.25881904510252135
349,349,22,0.0
350,350,20,0.4999999999999994
351,351,19,0.7071067811865475
352,352,18,0.8660254037844385
353,353,17,0.9659258262890684
354,354,16,1.0
355,355,15,0.9659258262890684
