x1,x2,peak,cosineSim
0,0,16,1.0
1,1,15,0.9659258262890684
2,2,15,0.9659258262890684
3,3,14,0.866025403784439
4,4,13,0.7071067811865479
5,5,13,0.7071067811865479
6,6,12,0.5000000000000008
7,7,10,6.106226635438361e-16
8,8,10,6.106226635438361e-16
9,9,7,-0.707106781186547
10,10,6,-0.8660254037844383
11,11,4,-1.0
12,12,4,-1.0
13,13,2,-0.8660254037844388
14,14,2,-0.8660254037844388
15,15,1,-0.7071067811865479
16,16,0,-0.5000000000000004
17,17,0,-0.5000000000000004
18,18,23,-0.25881904510252135
19,19,22,0.0
20,20,21,0.25881904510252046
21,21,20,0.4999999999999994
22,22,20,0.4999999999999994
23,23,19,0.7071067811865475
24,24,18,0.8660254037844385
25,25,18,0.8660254037844385
26,26,17,0.9659258262890684
27,27,16,1.0
28,28,16,1.0
29,29,15,0.9659258262890684
30,30,14,0.866025403784439
31,31,14,0.866025403784439
32,32,13,0.7071067811865479
33,33,13,0.7071067811865479
34,34,12,0.5000000000000008
35,35,11,0.258819045102521
36,36,10,6.106226635438361e-16
37,37,8,-0.4999999999999997
38,38,7,-0.707106781186547
39,39,5,-0.9659258262890681
40,40,4,-1.0
41,41,3,-0.9659258262890684
42,42,3,-0.9659258262890684
43,43,2,-0.8660254037844388
44,44,2,-0.8660254037844388
45,45,1,-0.7071067811865479
46,46,0,-0.5000000000000004
47,47,0,-0.5000000000000004
48,48,23,-0.25881904510252135
49,49,22,0.0
50,50,22,0.0
51,51,21,0.25881904510252046
52,52,20,0.4999999999999994
53,53,20,0.4999999999999994
54,54,19,0.7071067811865475
55,55,19,0.7071067811865475
56,56,18,0.8660254037844385
57,57,18,0.8660254037844385
58,58,17,0.9659258262890684
59,59,16,1.0
60,60,16,1.0
61,61,15,0.9659258262890684
62,62,15,0.9659258262890684
63,63,15,0.9659258262890684
64,64,14,0.866025403784439
65,65,14,0.866025403784439
66,66,13,0.7071067811865479
67,67,13,0.7071067811865479
68,68,12,0.5000000000000008
69,69,12,0.5000000000000008
70,70,11,0.258819045102521
71,71,10,6.106226635438361e-16
72,72,9,-0.2588190451025203
73,73,7,-0.707106781186547
74,74,6,-0.8660254037844383
75,75,5,-0.9659258262890681
76,76,5,-0.9659258262890681
77,77,4,-1.0
