x1,x2,peak,cosineSim
0,0,15,1.0
1,1,14,0.9659258262890684
2,2,14,0.9659258262890684
3,3,14,0.9659258262890684
4,4,14,0.9659258262890684
5,5,14,0.9659258262890684
6,6,14,0.9659258262890684
7,7,14,0.9659258262890684
8,8,14,0.9659258262890684
9,9,14,0.9659258262890684
10,10,14,0.9659258262890684
11,11,14,0.9659258262890684
12,12,14,0.9659258262890684
13,13,14,0.9659258262890684
14,14,14,0.9659258262890684
15,15,14,0.9659258262890684
16,16,14,0.9659258262890684
17,17,13,0.8660254037844388
18,18,13,0.8660254037844388
19,19,13,0.8660254037844388
20,20,13,0.8660254037844388
21,21,13,0.8660254037844388
22,22,13,0.8660254037844388
23,23,13,0.8660254037844388
24,24,13,0.8660254037844388
25,25,13,0.8660254037844388
26,26,13,0.8660254037844388
27,27,13,0.8660254037844388
28,28,13,0.8660254037844388
29,29,13,0.8660254037844388
30,30,13,0.8660254037844388
31,31,12,0.7071067811865479
32,32,12,0.7071067811865479
33,33,12,0.7071067811865479
34,34,12,0.7071067811865479
35,35,12,0.7071067811865479
36,36,12,0.7071067811865479
37,37,12,0.7071067811865479
38,38,12,0.7071067811865479
39,39,12,0.7071067811865479
40,40,12,0.7071067811865479
41,41,12,0.7071067811865479
42,42,12,0.7071067811865479
43,43,12,0.7071067811865479
44,44,12,0.7071067811865479
45,45,11,0.4999999999999999
46,46,11,0.4999999999999999
47,47,11,0.4999999999999999
48,48,11,0.4999999999999999
49,49,11,0.4999999999999999
50,50,11,0.4999999999999999
51,51,11,0.4999999999999999
52,52,11,0.4999999999999999
53,53,11,0.4999999999999999
54,54,11,0.4999999999999999
55,55,11,0.4999999999999999
56,56,11,0.4999999999999999
57,57,11,0.4999999999999999
58,58,11,0.4999999999999999
59,59,11,0.4999999999999999
60,60,10,0.258819045102521
61,61,10,0.258819045102521
62,62,10,0.258819045102521
63,63,10,0.258819045102521
64,64,10,0.258819045102521
65,65,10,0.258819045102521
66,66,10,0.258819045102521
67,67,10,0.258819045102521
68,68,10,0.258819045102521
69,69,10,0.258819045102521
70,70,10,0.258819045102521
71,71,10,0.258819045102521
72,72,10,0.258819045102521
73,73,10,0.258819045102521
74,74,9,1.1102230246251565e-16
75,75,9,1.1102230246251565e-16
76,76,9,1.1102230246251565e-16
77,77,9,1.1102230246251565e-16
78,78,9,1.1102230246251565e-16
79,79,9,1.1102230246251565e-16
80,80,9,1.1102230246251565e-16
81,81,9,1.1102230246251565e-16
82,82,9,1.1102230246251565e-16
83,83,9,1.1102230246251565e-16
84,84,9,1.1102230246251565e-16
85,85,9,1.1102230246251565e-16
86,86,9,1.1102230246251565e-16
87,87,8,-0.25881904510252085
88,88,8,-0.25881904510252085
89,89,8,-0.25881904510252085
90,90,8,-0.25881904510252085
91,91,8,-0.25881904510252085
92,92,8,-0.25881904510252085
93,93,8,-0.25881904510252085
94,94,8,-0.25881904510252085
95,95,8,-0.25881904510252085
96,96,8,-0.25881904510252085
97,97,7,-0.4999999999999999
98,98,7,-0.4999999999999999
99,99,7,-0.4999999999999999
100,100,7,-0.4999999999999999
